99 vs T8s | 0.610000 0.390000
99 vs T8o | 0.675000 0.325000
99 vs T7s | 0.632500 0.367500
99 vs T7o | 0.650000 0.350000
99 vs T6s | 0.647500 0.352500
99 vs T6o | 0.605000 0.395000
99 vs 98s | 0.650000 0.350000
99 vs 98o | 0.715000 0.285000
99 vs 97s | 0.655000 0.345000
99 vs 97o | 0.740000 0.260000
99 vs 96s | 0.730000 0.270000
99 vs 96o | 0.750000 0.250000
99 vs 87s | 0.812500 0.187500
99 vs 87o | 0.867500 0.132500
99 vs 86s | 0.872500 0.127500
99 vs 86o | 0.815000 0.185000
99 vs 76s | 0.822500 0.177500
99 vs 76o | 0.852500 0.147500
88 vs AA | 0.287500 0.712500
88 vs KK | 0.320000 0.680000
88 vs QQ | 0.305000 0.695000
88 vs JJ | 0.250000 0.750000
88 vs TT | 0.242500 0.757500
88 vs 99 | 0.245000 0.755000
88 vs 88 | 0.515000 0.485000
88 vs 77 | 0.737500 0.262500
88 vs 66 | 0.730000 0.270000
88 vs AKs | 0.482500 0.517500
88 vs AKo | 0.410000 0.590000
88 vs AQs | 0.407500 0.592500
88 vs AQo | 0.522500 0.477500
88 vs AJs | 0.495000 0.505000
88 vs AJo | 0.472500 0.527500
88 vs ATs | 0.447500 0.552500
88 vs ATo | 0.470000 0.530000
88 vs A9s | 0.515000 0.485000
88 vs A9o | 0.550000 0.450000
88 vs A8s | 0.495000 0.505000
88 vs A8o | 0.497500 0.502500
88 vs A7s | 0.615000 0.385000
88 vs A7o | 0.647500 0.352500
88 vs A6s | 0.637500 0.362500
88 vs A6o | 0.672500 0.327500
88 vs KQs | 0.390000 0.610000
88 vs KQo | 0.387500 0.612500
88 vs KJs | 0.430000 0.570000
88 vs KJo | 0.472500 0.527500
88 vs KTs | 0.480000 0.520000
88 vs KTo | 0.355000 0.645000
88 vs K9s | 0.535000 0.465000
88 vs K9o | 0.450000 0.550000
88 vs K8s | 0.570000 0.430000
88 vs K8o | 0.490000 0.510000
88 vs K7s | 0.597500 0.402500
88 vs K7o | 0.572500 0.427500
88 vs K6s | 0.550000 0.450000
88 vs K6o | 0.612500 0.387500
88 vs QJs | 0.457500 0.542500
88 vs QJo | 0.502500 0.497500
88 vs QTs | 0.337500 0.662500
88 vs QTo | 0.450000 0.550000
88 vs Q9s | 0.445000 0.555000
88 vs Q9o | 0.475000 0.525000
88 vs Q8s | 0.502500 0.497500
88 vs Q8o | 0.457500 0.542500
88 vs Q7s | 0.557500 0.442500
88 vs Q7o | 0.565000 0.435000
88 vs Q6s | 0.585000 0.415000
88 vs Q6o | 0.565000 0.435000
88 vs JTs | 0.417500 0.582500
88 vs JTo | 0.362500 0.637500
88 vs J9s | 0.472500 0.527500
88 vs J9o | 0.507500 0.492500
88 vs J8s | 0.452500 0.547500
88 vs J8o | 0.462500 0.537500
88 vs J7s | 0.500000 0.500000
88 vs J7o | 0.602500 0.397500
88 vs J6s | 0.572500 0.427500
88 vs J6o | 0.605000 0.395000
88 vs T9s | 0.480000 0.520000
88 vs T9o | 0.525000 0.475000
88 vs T8s | 0.465000 0.535000
88 vs T8o | 0.490000 0.510000
88 vs T7s | 0.597500 0.402500
88 vs T7o | 0.597500 0.402500
88 vs T6s | 0.637500 0.362500
88 vs T6o | 0.682500 0.317500
88 vs 98s | 0.490000 0.510000
88 vs 98o | 0.482500 0.517500
88 vs 97s | 0.612500 0.387500
88 vs 97o | 0.687500 0.312500
88 vs 96s | 0.622500 0.377500
88 vs 96o | 0.657500 0.342500
88 vs 87s | 0.670000 0.330000
88 vs 87o | 0.757500 0.242500
88 vs 86s | 0.775000 0.225000
88 vs 86o | 0.817500 0.182500
88 vs 76s | 0.807500 0.192500
88 vs 76o | 0.840000 0.160000
